Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
325321,644,Annual vehicle miles travelled (cars),million miles,per km2,UHF42,210,Coney Island - Sheepshead Bay,2016,01/01/2016,18.4,
167571,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Annual Average 2010,12/01/2009,32.87,
131309,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Citywide,1,New York City,2005-2007,01/01/2005,45.4,
174128,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Annual Average 2009,12/01/2008,11.4,
670895,386,Ozone (O3),Mean,ppb,CD,108,Upper East Side (CD8),Summer 2020,06/01/2020,29.28,
606068,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Annual Average 2018,01/01/2018,6.19,
547501,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,103,Fordham - Bronx Pk,Annual Average 2017,01/01/2017,7.52,
165799,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Winter 2009-10,12/01/2009,33.64,
547446,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Summer 2017,06/01/2017,10.19,
130759,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,309,Union Square - Lower East Side,2005,01/01/2005,4,
325236,643,Annual vehicle miles traveled,million miles,per km2,UHF42,501,Port Richmond,2016,01/01/2016,7,
602973,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Summer 2018,06/01/2018,15.44,
643546,375,Nitrogen dioxide (NO2),Mean,ppb,Citywide,1,New York City,Annual Average 2019,01/01/2019,15.59,
168649,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Winter 2012-13,12/01/2012,11.32,
131525,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,301,Washington Heights,2009-2011,01/01/2009,12.5,
169491,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312,Borough Park (CD12),Summer 2012,06/01/2012,10.2,
628600,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,2015-2017,01/01/2015,20.2,
222626,386,Ozone (O3),Mean,ppb,UHF42,410,Rockaways,Summer 2012,06/01/2012,40.3,
649811,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,204,East New York,Summer 2019,06/01/2019,8.02,
550008,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Winter 2016-17,12/01/2016,32.89,
168602,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,308,Crown Heights and Prospect Heights (CD8),Winter 2011-12,12/01/2011,9.62,
742553,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Summer 2021,06/01/2021,7.87,
166780,375,Nitrogen dioxide (NO2),Mean,ppb,CD,315,Sheepshead Bay (CD15),Summer 2011,06/01/2011,14.61,
130991,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,206,Borough Park,2005-2007,01/01/2005,6.4,
550026,375,Nitrogen dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Winter 2016-17,12/01/2016,26.51,
168405,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,Washington Heights and Inwood (CD12),Winter 2008-09,12/01/2008,15.14,
173723,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,405,Ridgewood - Forest Hills,Summer 2012,06/01/2012,10.2,
412808,375,Nitrogen dioxide (NO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Winter 2015-16,12/01/2015,23.62,
650007,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,314,Flatbush and Midwood (CD14),Winter 2018-19,12/01/2018,6.82,
165794,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2008-09,12/01/2008,20.89,
176086,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502,Stapleton - St. George,Summer 2013,06/01/2013,11.28,
628388,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Borough,5,Staten Island,2015-2017,01/01/2015,46.9,
412539,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Summer 2016,06/01/2016,6.22,
172644,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Annual Average 2010,12/01/2009,18.22,
222508,386,Ozone (O3),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2014,06/01/2014,30.41,
549354,386,Ozone (O3),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2017,06/01/2017,24.66,
175918,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502,Stapleton - St. George,Summer 2009,06/01/2009,14.92,
605253,386,Ozone (O3),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2018,06/01/2018,24.81,
173117,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Winter 2008-09,12/01/2008,16.17,
325208,643,Annual vehicle miles traveled,million miles,per km2,UHF42,204,East New York,2016,01/01/2016,19.4,
214124,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205,Fordham and University Heights (CD5),Annual Average 2014,12/01/2013,10.07,
605944,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205,Fordham and University Heights (CD5),Winter 2017-18,12/01/2017,8.66,
667771,375,Nitrogen dioxide (NO2),Mean,ppb,CD,401,Long Island City and Astoria (CD1),Annual Average 2020,01/01/2020,17.63,
131253,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,407,Southwest Queens,2005-2007,01/01/2005,30.6,
669896,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306,Park Slope and Carroll Gardens (CD6),Winter 2019-20,12/01/2019,8.49,
650934,386,Ozone (O3),Mean,ppb,UHF42,206,Borough Park,Summer 2019,06/01/2019,30.62,
151420,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,410,Rockaways,2009-2011,01/01/2009,9,
742520,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,401,Long Island City and Astoria (CD1),Summer 2021,06/01/2021,8.68,
222585,386,Ozone (O3),Mean,ppb,UHF42,403,Flushing - Clearview,Summer 2013,06/01/2013,31.43,
211378,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,4,Queens,Summer 2014,06/01/2014,13.66,
412057,386,Ozone (O3),Mean,ppb,UHF34,403,Flushing - Clearview,Summer 2016,06/01/2016,33.45,
649948,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2019,01/01/2019,6.78,
550053,375,Nitrogen dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Winter 2016-17,12/01/2016,26.45,
169343,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2010,06/01/2010,14.68,
169428,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2011,06/01/2011,11.53,
549944,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Annual Average 2017,01/01/2017,20.99,
176521,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2009,12/01/2008,24.79,
740939,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2021,06/01/2021,10.81,
211660,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2014,06/01/2014,16.51,
167714,375,Nitrogen dioxide (NO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Annual Average 2012,12/01/2011,20.21,
179760,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,Citywide,1,New York City,2015,01/01/2015,27.4,
130998,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,302,Central Harlem - Morningside Heights,2005-2007,01/01/2005,5,
131516,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,203,Bedford Stuyvesant - Crown Heights,2009-2011,01/01/2009,16.3,
168622,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410,South Ozone Park and Howard Beach (CD10),Winter 2011-12,12/01/2011,8.21,
605677,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,105,Crotona -Tremont,Winter 2017-18,12/01/2017,8.52,
167581,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Annual Average 2010,12/01/2009,23.88,
412008,386,Ozone (O3),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2016,06/01/2016,35.79,
172081,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Summer 2009,06/01/2009,18.95,
172154,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Summer 2011,06/01/2011,23.33,
168544,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,309,South Crown Heights and Lefferts Gardens (CD9),Winter 2010-11,12/01/2010,12.77,
151424,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,504,South Beach - Tottenville,2009-2011,01/01/2009,7.3,
315645,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,201,Greenpoint,2011,01/01/2011,2.2,
336721,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Annual Average 2015,01/01/2015,26.7,
336820,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2015,01/01/2015,19.16,
174154,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,208,Canarsie - Flatlands,Annual Average 2010,12/01/2009,9.12,
338286,386,Ozone (O3),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Summer 2015,06/01/2015,32.26,
172646,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Annual Average 2010,12/01/2009,25.08,
130513,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01/01/2013,55.8,
547443,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Summer 2017,06/01/2017,10.66,
222509,386,Ozone (O3),Mean,ppb,UHF42,301,Washington Heights,Summer 2009,06/01/2009,21.82,
336735,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Winter 2014-15,12/01/2014,35.01,
518907,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,302,Central Harlem - Morningside Heights,2012-2014,01/02/2012,253.14,
216421,386,Ozone (O3),Mean,ppb,CD,212,Williamsbridge and Baychester (CD12),Summer 2014,06/01/2014,31.44,
177824,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,207,East Flatbush - Flatbush,Summer 2010,06/01/2010,11.81,
518686,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,501,Port Richmond,2012-2014,01/02/2012,9.8,
216547,386,Ozone (O3),Mean,ppb,CD,403,Jackson Heights (CD3),Summer 2014,06/01/2014,30.81,
177282,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Winter 2011-12,12/01/2011,11.01,
221875,386,Ozone (O3),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Summer 2011,06/01/2011,31.54,
173140,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,303,East Harlem,Winter 2009-10,12/01/2009,10.79,
167652,375,Nitrogen dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Annual Average 2011,12/01/2010,27.36,
518619,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,302,Central Harlem - Morningside Heights,2012-2014,01/02/2012,46.2,
336504,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,105,Crotona -Tremont,Winter 2014-15,12/01/2014,25.56,
325099,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,202,Downtown - Heights - Slope,2016,01/01/2016,3.3,
334253,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Summer 2015,06/01/2015,9.65,
412416,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,2,Brooklyn,Summer 2016,06/01/2016,13.62,
212424,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2014,06/01/2014,17.79,
222577,386,Ozone (O3),Mean,ppb,UHF42,402,West Queens,Summer 2011,06/01/2011,33,
169479,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Summer 2012,06/01/2012,10.12,
168633,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Winter 2012-13,12/01/2012,13.33,
173656,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,407,Southwest Queens,Summer 2010,06/01/2010,11.33,
643659,375,Nitrogen dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2018-19,12/01/2018,17.83,
667136,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Winter 2019-20,12/01/2019,26.13,
669873,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Summer 2020,06/01/2020,7.08,
518892,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,105,Crotona -Tremont,2012-2014,01/02/2012,214.14,
211665,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,208,Canarsie - Flatlands,Summer 2014,06/01/2014,11.12,
212814,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,303,East Harlem,Summer 2014,06/01/2014,8.88,
643339,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Annual Average 2019,01/01/2019,21.4,
336658,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Annual Average 2015,01/01/2015,21.27,
170409,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,110,Central Harlem (CD10),Annual Average 2013,12/01/2012,9.64,
336719,375,Nitrogen dioxide (NO2),Mean,ppb,Citywide,1,New York City,Summer 2015,06/01/2015,13.57,
547462,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Annual Average 2017,01/01/2017,7.03,
742263,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406,Fresh Meadows,Annual Average 2021,01/01/2021,6.27,
315606,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,210,Coney Island - Sheepshead Bay,2011,01/01/2011,1.7,
222634,386,Ozone (O3),Mean,ppb,UHF42,501,Port Richmond,Summer 2014,06/01/2014,30.23,
742346,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2021,06/01/2021,9.13,
605226,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2018,06/01/2018,30.87,
602775,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2018,06/01/2018,26.13,
412116,386,Ozone (O3),Mean,ppb,CD,404,Elmhurst and Corona (CD4),Summer 2016,06/01/2016,32.75,
212329,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502,Stapleton - St. George,Winter 2013-14,12/01/2013,23.01,
165968,375,Nitrogen dioxide (NO2),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Winter 2011-12,12/01/2011,20.84,
518779,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,408,Jamaica,2012-2014,01/02/2012,36.5,
649874,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Summer 2019,06/01/2019,11.09,
667076,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Winter 2019-20,12/01/2019,22.22,
742148,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,1,Bronx,Summer 2021,06/01/2021,8.64,
649866,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Winter 2018-19,12/01/2018,6.73,
166000,375,Nitrogen dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2012-13,12/01/2012,28.67,
518923,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,408,Jamaica,2012-2014,01/02/2012,91.4,
213252,375,Nitrogen dioxide (NO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Winter 2013-14,12/01/2013,29.3,
219971,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2009,06/01/2009,26.27,
173739,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201,Greenpoint,Summer 2013,06/01/2013,11.54,
603062,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Annual Average 2018,01/01/2018,21.13,
325366,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,207,Kingsbridge Heights and Bedford (CD7),2016,01/01/2016,25,
547455,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,402,West Queens,Summer 2017,06/01/2017,9.58,
410986,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Annual Average 2016,12/31/2015,8.49,
171576,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Winter 2008-09,12/01/2008,34.29,
336702,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Winter 2014-15,12/01/2014,31.49,
334239,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2014-15,12/01/2014,10.37,
227574,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,107,Upper West Side (CD7),2011,01/01/2011,2.43,
667117,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,Annual Average 2020,01/01/2020,15.74,
179133,375,Nitrogen dioxide (NO2),Mean,ppb,Citywide,1,New York City,Annual Average 2009,12/01/2008,22.72,
212936,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2014,12/01/2013,8.37,
172211,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2013,06/01/2013,18.74,
650039,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407,Flushing and Whitestone (CD7),Summer 2019,06/01/2019,7.81,
643590,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Winter 2018-19,12/01/2018,24.5,
216623,386,Ozone (O3),Mean,ppb,CD,502,South Beach and Willowbrook (CD2),Summer 2012,06/01/2012,33.7,
151455,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,307,Gramercy Park - Murray Hill,2009-2011,01/01/2009,70,
629017,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,105,Crotona -Tremont,2015-2017,01/01/2015,9.8,
227625,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,502,South Beach and Willowbrook (CD2),2011,01/01/2011,1.04,
338172,386,Ozone (O3),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Summer 2015,06/01/2015,28.72,
333985,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Annual Average 2015,01/01/2015,9.45,
740902,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Winter 2020-21,12/01/2020,19.55,
130489,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.1,
211405,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,1,Bronx,Winter 2013-14,12/01/2013,12.5,
333969,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,106,High Bridge - Morrisania,Winter 2014-15,12/01/2014,10.55,
165935,375,Nitrogen dioxide (NO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winter 2011-12,12/01/2011,21.84,
518877,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,410,Rockaways,2012-2014,01/02/2012,13.87,
669628,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Annual Average 2020,01/01/2020,8.41,
649942,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205,Fordham and University Heights (CD5),Annual Average 2019,01/01/2019,7.29,
605976,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304,Bushwick (CD4),Summer 2018,06/01/2018,8.75,
179137,375,Nitrogen dioxide (NO2),Mean,ppb,Citywide,1,New York City,Annual Average 2013,12/01/2012,18.83,
130703,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,301,Washington Heights,2005,01/01/2005,4.1,
667789,375,Nitrogen dioxide (NO2),Mean,ppb,CD,404,Elmhurst and Corona (CD4),Annual Average 2020,01/01/2020,17.52,
325143,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,110,Central Harlem (CD10),2016,01/01/2016,0.7,
643509,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,403,Flushing - Clearview,Winter 2018-19,12/01/2018,21.26,
130441,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.8,
649695,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Winter 2018-19,12/01/2018,7.15,
177305,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,503,Willowbrook,Winter 2011-12,12/01/2011,8.48,
602812,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409,Southeast Queens,Winter 2017-18,12/01/2017,21.61,
549858,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,405,Ridgewood - Forest Hills,Winter 2016-17,12/01/2016,25.06,
667107,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2020,06/01/2020,12.96,
213261,375,Nitrogen dioxide (NO2),Mean,ppb,CD,315,Sheepshead Bay (CD15),Winter 2013-14,12/01/2013,26.24,
175288,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502,Stapleton - St. George,Winter 2008-09,12/01/2008,23.27,
669780,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,302,Central Harlem - Morningside Heights,Winter 2019-20,12/01/2019,7.56,
179347,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5,Staten Island,Summer 2009,06/01/2009,13.19,
213628,375,Nitrogen dioxide (NO2),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Annual Average 2014,12/01/2013,18.6,
602982,375,Nitrogen dioxide (NO2),Mean,ppb,CD,205,Fordham and University Heights (CD5),Summer 2018,06/01/2018,15.93,
550045,375,Nitrogen dioxide (NO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2017,06/01/2017,16.19,
649816,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206,Borough Park,Annual Average 2019,01/01/2019,6.32,
216537,386,Ozone (O3),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Summer 2010,06/01/2010,33.29,
518697,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,102,Northeast Bronx,2012-2014,01/02/2012,6.6,
176601,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Annual Average 2011,12/01/2010,26.64,
518961,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2012-2014,01/02/2012,7.24,
219692,386,Ozone (O3),Mean,ppb,Citywide,1,New York City,Summer 2009,06/01/2009,26,
742313,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Summer 2021,06/01/2021,8.97,
179646,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,4,Queens,Annual Average 2009,12/01/2008,10.05,
741204,375,Nitrogen dioxide (NO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Annual Average 2021,01/01/2021,17.88,
131421,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,204,East New York,2009-2011,01/01/2009,153.2,
131552,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Borough,3,Manhattan,2009-2011,01/01/2009,12.6,
412452,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2016,06/01/2016,17.32,
151422,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,502,Stapleton - St. George,2009-2011,01/01/2009,8.4,
221886,386,Ozone (O3),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2010,06/01/2010,29.75,
212450,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2014,06/01/2014,13.61,
